ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-29 19:41:32:894
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,32,1,0.00,0.00,90.90,178.22,184.83,110.44,38.57,43.19,37.91,38.43,-46.99,-46.13,139.00,57.00,233.00,173.00,0.00,0.00,89.80,186.00,200.69,123.18,7.48,5.30,109.33,211.67,203.11,124.80,7.74,8.35,455.35,457.99,0.00,0.00,0.210,1336.994,-429.775,196.953,-4.10,-3.77,-2.67,2.68,0.86,1.01,0.944,0.943,-0.301,-0.304,0.138,0.138,
0.006,11111100,0,0,0,33,1,0.00,0.00,90.97,178.35,184.63,110.15,38.71,43.29,37.30,38.67,-44.87,-47.98,139.00,57.00,232.00,173.00,0.00,0.00,89.80,185.76,200.69,123.24,7.48,4.76,109.43,211.88,203.07,124.87,7.96,8.81,457.62,458.79,0.00,0.00,0.207,1355.695,-433.449,194.208,-4.10,-3.77,-2.67,2.68,0.86,1.01,0.945,0.944,-0.299,-0.303,0.134,0.134,
0.017,11111100,1,0,0,35,1,0.00,0.00,91.19,178.73,184.59,110.29,38.64,43.19,36.91,38.03,-46.94,-49.53,139.00,57.00,232.00,173.00,0.00,0.00,89.93,186.10,200.46,123.29,6.28,4.04,109.22,211.45,203.22,124.56,7.37,9.12,459.88,460.72,0.00,0.00,0.205,1372.525,-433.948,205.511,-4.10,-3.77,-2.67,2.68,0.86,1.01,0.945,0.944,-0.296,-0.299,0.140,0.140,
0.044,11111100,4,0,0,40,1,0.00,0.00,91.55,179.62,184.11,110.14,39.84,42.88,36.94,38.66,-33.66,-50.79,139.00,56.00,236.00,168.00,0.00,0.00,90.22,186.09,200.50,123.04,5.53,4.72,109.40,211.58,203.36,124.52,7.10,8.87,462.09,461.33,0.00,0.00,0.203,1387.673,-428.701,195.163,-4.10,-3.77,-2.67,2.68,0.86,1.01,0.948,0.947,-0.290,-0.294,0.132,0.132,
0.167,11111100,21,0,0,62,1,0.00,0.00,95.18,183.70,184.42,109.32,39.10,43.29,35.21,38.63,-34.64,-51.42,139.00,55.00,237.00,168.00,0.00,0.00,91.00,188.11,200.00,122.68,3.46,4.90,110.24,213.14,203.88,123.66,6.10,8.12,467.93,462.00,0.00,0.00,0.205,1401.306,-374.006,200.592,-4.10,-3.77,-2.67,2.68,0.86,1.01,0.958,0.957,-0.253,-0.257,0.136,0.136,
0.217,11111100,8,0,0,71,1,0.00,0.00,96.77,183.70,184.64,109.32,39.32,43.29,36.02,38.63,-37.77,-51.42,139.00,55.00,237.00,168.00,0.00,0.00,91.36,188.11,200.05,122.68,3.53,4.90,111.11,213.14,203.63,123.66,5.51,8.12,474.06,462.45,0.00,0.00,0.211,1371.867,-351.823,200.213,-4.10,-3.77,-2.67,2.68,0.86,1.01,0.960,0.959,-0.244,-0.247,0.139,0.139,
0.250,11111100,5,0,0,77,1,0.00,0.00,97.64,183.70,185.14,109.32,40.05,43.29,35.83,38.63,-39.83,-51.42,149.00,55.00,237.00,168.00,0.00,0.00,91.68,188.11,200.39,122.68,3.72,4.90,111.68,213.14,203.93,123.66,6.78,8.12,480.90,462.46,0.00,0.00,0.227,1278.733,-316.680,188.446,-4.10,-3.77,-2.67,2.68,0.86,1.01,0.962,0.961,-0.235,-0.239,0.141,0.140,
0.261,11111100,1,0,0,79,1,0.00,0.00,98.15,183.70,184.89,109.32,39.60,43.29,35.31,38.63,-37.97,-51.42,138.00,55.00,238.00,168.00,0.00,0.00,91.93,188.11,200.50,122.68,3.98,4.90,111.74,213.14,204.02,123.66,6.56,8.12,487.98,462.60,0.00,0.00,0.245,1185.951,-288.669,171.353,-4.10,-3.77,-2.67,2.68,0.86,1.01,0.963,0.962,-0.231,-0.236,0.138,0.138,
0.300,11111100,6,0,0,86,1,0.00,0.00,99.40,183.70,184.67,109.32,39.60,43.29,34.23,38.63,-35.39,-51.42,139.00,55.00,239.00,168.00,0.00,0.00,92.45,188.11,200.50,122.68,4.85,4.90,111.86,213.14,204.04,123.66,7.04,8.12,495.57,461.56,0.00,0.00,0.267,1091.529,-255.682,153.729,-4.10,-3.77,-2.67,2.68,0.86,1.01,0.965,0.964,-0.223,-0.227,0.135,0.134,
0.311,11111100,1,0,0,88,1,0.00,0.00,99.40,188.76,184.67,108.46,39.60,43.75,34.23,39.17,-35.39,-50.57,139.00,55.00,239.00,168.00,0.00,0.00,92.45,190.91,200.50,122.04,4.85,4.72,111.86,214.95,204.04,122.83,7.04,6.06,504.52,461.91,0.00,0.00,0.259,1134.776,-241.032,162.993,-4.10,-3.77,-2.67,2.68,0.86,1.01,0.969,0.969,-0.203,-0.207,0.138,0.138,
